pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH103500000;0.412;0.001;0;0.009;0;0.195;81;2.7;0.396;0.786;0.068;381;3.73891206490987;1019013;2887.3;353.1;109.2;0.55;PH103500000;4.07993866296695;2.8857274838967;4.24124324704975;4.83344318437349;4.840527035799701;3.471900751020841;4.672;5.892338938963467;2.4777206548151454;2.403716276242616;2.022931078347729;0;2.2912220604970064;0;6.8332894365722705;5.617106370258583;3.495441218179122;3.4470096077539965;Lanao del Norte
PH153800000;0.593;0.012;0.001;0.007;0;0.232;44.9;2.3;0.269;0.532;0.119;270;1.94733960953677;1386507;4819.1;289.1;83.7;0.309;PH153800000;5.43674930266907;3.74707610845342;6.59737987252856;5.40170420926678;6.978507742347876;2.9858716905143643;8.528;7.214994706323636;5.432769654124501;4.20113206358461;4.4783783783884905;0.6787439004893171;3.1922801012620488;0;6.916562339749199;5.47728718601312;4.492270496227992;3.8331540870689116;Maguindanao
PH041000000;0.102;0;0.165;0.02;0.014;0.157;198;1.7;0.849;0.958;0.032;590;2.18977966733907;2694335;3088.8;870.8;47.2;0.668;PH041000000;4.0424598715291;5.67905590124107;1.4209763259234;4.326437705956;1.1666431440861296;1.3332239680663318;2.784;1.1882863014960545;0.47599260633842333;1.128940097241586;1.0553659855699924;7.65497485225531;6.847736148838059;2.952518211666711;6.733992783863306;4.900784694238809;4.3250277444329;2.163739557670052;Batangas
PH160200000;0.264;0.005;0.022;0.001;0.002;0.161;62.3;2.3;0.353;0.654;0.058;231;3.38476416545782;682470;2979.4;229.9;105.2;0.541;PH160200000;4.36722606629422;4.3616308479928;4.15829448406259;4.49225013132054;3.0860345509692735;2.628329450378771;4.816;6.33876969819209;4.014067166457086;2.0453007582028575;3.739256135371724;6.124062376095468;0.7618692907113157;1.2714838789631122;6.786506206925607;5.316533524935009;3.4428519925996817;1.7958934150226744;Agusan del Norte
PH051700000;0.327;0.021;0.415;0.034;0;0.199;95.6;2.4;0.539;0.654;0.058;423;2.16868915301666;1950487;5447.4;357.6;62.2;0.54;PH051700000;4.90791020022056;5.83196959606186;3.81486439663469;4.76580245782347;3.8291983598464254;2.8912266526257286;4.832;4.410895507180691;4.013170238771681;2.048226262047939;4.57246253009617;8.18814040104687;6.065832709535302;0;6.703354128349293;4.840463542041371;4.158288882585357;4.516919205442468;Camarines Sur
PH112500000;0.355;0;0.008;0.035;0;0.157;120.2;2.7;0.261;0.521;0.074;208;3.7212098225627;558958;5199.3;107.3;418.5;0.442;PH112500000;5.39921883855565;4.56867606274515;5.32420149978655;6.16226991423853;4.167415612367992;3.3340608775614626;6.4;7.292993904555059;5.562056657552238;2.6091381856451306;0.2756768323265625;4.718329886821654;6.908083762747569;0.869179963099967;6.785133049322209;8.572342300444133;3.1332434768340263;3.325470348308288;Davao Oriental
PH143200000;0.189;0.004;0.498;0.002;0;0.233;107.5;4;0.512;0.899;0.054;157;5.81120479079663;203056;3054.1;66.5;167.7;0.546;PH143200000;4.77725687254845;5.32896098832211;3.90278684037436;4.92602743744053;2.19786071198944;6.023530454652904;4.736;4.691102848680068;1.1606403858013465;1.9062591558729098;4.470088992959935;8.386142482510719;2.7936151684197243;0;6.927739242545345;6.926177684007096;1.8085093436413837;1.8349352896651505;Kalinga
PH054100000;0.441;0;0.178;0.002;0;0.174;100.4;3;0.31;0.46;0.084;264;2.95833786235437;892393;4125.1;216.7;137.7;0.422;PH054100000;4.99053342956898;3.98222681720043;5.58281427778821;5.25367799155718;5.184481202483447;3.964168253224756;6.72;6.785793764036534;6.276056010847249;2.963601798759067;0;7.649949490483378;0.9571715135330947;0;6.698287622233089;6.567831827679494;3.5805307521544467;4.755208932142973;Masbate
PH020900000;0.215;0;0.254;0.005;0;0;465.2;5.3;0.301;0.904;0;15;null;17246;223;77.3;438;0.512;PH020900000;4.85660952051343;3.45966648545169;4.31062856774858;6.39623744947733;2.5105294976212646;8.67261973791024;5.28;0.23620048205459315;1.1056617268946776;0;0;7.852869227085831;4.860683176821588;0;0;8.772381936589799;null;1.5934254668547014;Batanes
PH104200000;0.339;0;0;0.003;0;0.222;84.7;3.8;0.381;0.733;0.058;164;2.72368241862999;602126;1926;310.7;69.6;0.526;PH104200000;3.85894605080988;2.240776050575;4.5085112965032;4.55543260150911;3.976189201941594;5.5986454662313205;5.056;6.050411945399041;3.0985313285559295;2.0417507252354135;0;0;1.0869470138653805;0;6.94702078334913;5.336709335986031;3.712887025272669;2.455048412684163;Misamis Occidental
